Faculty,Course,rid,item,rating
1,1,133,1,4
1,1,133,2,4
1,1,133,3,4
1,1,133,4,4
1,1,133,5,4
1,1,133,6,4
1,1,133,7,4
1,1,133,8,4
1,1,133,9,4
1,1,133,10,4
1,1,133,11,4
1,1,133,12,4
1,1,137,1,4
1,1,137,2,4
1,1,137,3,4
1,1,137,4,4
1,1,137,5,4
1,1,137,6,4
1,1,137,7,4
1,1,137,8,4
1,1,137,9,4
1,1,137,10,4
1,1,137,11,4
1,1,137,12,4
1,1,157,1,3
1,1,157,2,3
1,1,157,3,3
1,1,157,4,3
1,1,157,5,3
1,1,157,6,3
1,1,157,7,3
1,1,157,8,3
1,1,157,9,3
1,1,157,10,3
1,1,157,11,3
1,1,157,12,5
1,1,169,1,4
1,1,169,2,4
1,1,169,3,4
1,1,169,4,4
1,1,169,5,4
1,1,169,6,4
1,1,169,7,4
1,1,169,8,4
1,1,169,9,4
1,1,169,10,4
1,1,169,11,4
1,1,169,12,4
1,1,188,1,5
1,1,188,2,5
1,1,188,3,5
1,1,188,4,5
1,1,188,5,5
1,1,188,6,5
1,1,188,7,5
1,1,188,8,5
1,1,188,9,5
1,1,188,10,5
1,1,188,11,5
1,1,188,12,5
1,1,229,1,5
1,1,229,2,5
1,1,229,3,5
1,1,229,4,5
1,1,229,5,5
1,1,229,6,5
1,1,229,7,5
1,1,229,8,5
1,1,229,9,5
1,1,229,10,5
1,1,229,11,5
1,1,229,12,5
1,1,230,1,5
1,1,230,2,5
1,1,230,3,5
1,1,230,4,5
1,1,230,5,5
1,1,230,6,5
1,1,230,7,5
1,1,230,8,5
1,1,230,9,5
1,1,230,10,5
1,1,230,11,5
1,1,230,12,5
1,1,240,1,5
1,1,240,2,5
1,1,240,3,5
1,1,240,4,5
1,1,240,5,5
1,1,240,6,5
1,1,240,7,5
1,1,240,8,5
1,1,240,9,5
1,1,240,10,5
1,1,240,11,5
1,1,240,12,5
1,1,246,1,5
1,1,246,2,4
1,1,246,3,5
1,1,246,4,4
1,1,246,5,4
1,1,246,6,5
1,1,246,7,4
1,1,246,8,4
1,1,246,9,5
1,1,246,10,4
1,1,246,11,4
1,1,246,12,4
1,1,255,1,4
1,1,255,2,4
1,1,255,3,4
1,1,255,4,5
1,1,255,5,4
1,1,255,6,4
1,1,255,7,4
1,1,255,8,5
1,1,255,9,5
1,1,255,10,5
1,1,255,11,5
1,1,255,12,5
1,1,268,1,5
1,1,268,2,5
1,1,268,3,5
1,1,268,4,5
1,1,268,5,5
1,1,268,6,5
1,1,268,7,5
1,1,268,8,5
1,1,268,9,5
1,1,268,10,5
1,1,268,11,5
